Asunto,Género,Edad,Rango-Edad,Escolaridad,Ocupación,Pertenencia étnica,Discapacidad,Orientación sexual,Identidad de género,Desplazado,Estado civil,Factor vulnerabilidad,Fecha del hecho,Mes,Día,Hora (MM:MM),Rango-hora,DEPARTAMENTO,Municipio,Barrio/vereda,Comuna/corregimiento,Zona del hecho,Circunstancia,Contexto hecho,Mecanismo múltiple,Objeto vulnerante,Presunto agresor
Sin dato,Masculino,32,31-35,Bachillerato sin terminar,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,13/04/2018,abril,viernes,20:00:00,18:00 -23:59,HUILA,NEIVA,LUIS CARLOS GALAN II ETAPA,Comuna 9,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Vecino
Sin dato,Masculino,23,20-24,Bachillerato sin terminar,Operarios de la madera,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,13/04/2018,abril,viernes,21:30:00,18:00 -23:59,HUILA,NEIVA,OBRERO,Comuna 7,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Vecino
Sin dato,Masculino,38,36-40,Primaria sin terminar,Oficiales y operarios de la construcción,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,14/04/2018,abril,sábado,13:45:00,12:00- 17:59,HUILA,NEIVA,ASENTAMIENTO VILLA COLOMBIA,Comuna 9,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Otro,Vecino
Sin dato,Masculino,37,36-40,Básica primaria,Soldados de las Fuerzas Militares,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Casado (a),No aplica,14/04/2018,abril,sábado,18:30:00,18:00 -23:59,HUILA,NEIVA,Plazas Alcid,Comuna 3,Cabecera municipal,Riña,Violencia interpersonal,Cortante,Otro,Otro
Sin dato,Masculino,17,15-17,Bachillerato sin terminar,Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,15/04/2018,abril,domingo,15:30:00,12:00- 17:59,HUILA,NEIVA,CIUDADELA COMFAMILIAR,Comuna 1,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Arma blanca",Otro
Sin dato,Masculino,20,20-24,Bachillerato sin terminar,Oficiales y operarios de la construcción,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,15/04/2018,abril,domingo,15:30:00,12:00- 17:59,HUILA,NEIVA,CIUDADELA COMFAMILIAR,Comuna 1,Cabecera municipal,Retención Legal,Violencia interpersonal,Abrasivo,Herramientas,Personal de custodia en centros de internamiento preventivo especializado o de atención especializada de menores infractores
Sin dato,Masculino,36,36-40,Primaria sin terminar,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,15/04/2018,abril,domingo,16:00:00,12:00- 17:59,HUILA,NEIVA,CIUDADELA COMFAMILIAR,Comuna 1,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Otro,Compañero de celda
Sin dato,Masculino,47,46-50,Primaria sin terminar,"Vendedores y demostradores de tiendas, almacenes y afines",Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Casado (a),No aplica,15/04/2018,abril,domingo,2:00:00,00:00 - 5:59,HUILA,NEIVA,ALBERTO GALINDO,Comuna 9,Cabecera municipal,Riña,Violencia interpersonal,Punzante,Alguna parte del cuerpo,Vecino
Sin dato,Masculino,21,20-24,Pregrado sin terminar,Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,15/04/2018,abril,domingo,3:00:00,00:00 - 5:59,HUILA,NEIVA,CAGUAN,Corregimiento El Caguán,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Otro,Conocido
Sin dato,Masculino,17,15-17,Bachillerato sin terminar,Oficios varios,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,15/04/2018,abril,domingo,15:00:00,12:00- 17:59,HUILA,NEIVA,PUERTAS DEL SOL,Comuna 6,Cabecera municipal,Hurto,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Delincuencia común
Lesiones,Femenino,28,25-30,Bachillerato,Ama de casa / Encargado (a) del hogar,Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Separado (a),No aplica,15/04/2018,abril,domingo,23:00:00,18:00 -23:59,HUILA,NEIVA,VEGALARGA,Corregimiento Vegalarga,Cabecera municipal,Riña,Violencia interpersonal,Punzante,Herramientas,Vecino
Sin dato,Masculino,43,41-45,Bachillerato sin terminar,"Personal de servicios de restaurantes, alimentos y bebidas",Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,16/04/2018,abril,lunes,15:00:00,12:00- 17:59,HUILA,NEIVA,PUERTAS DEL SOL,Comuna 6,Cabecera municipal,Sin dato,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Policía
Sin dato,Masculino,26,25-30,Bachillerato sin terminar,Oficiales y operarios de la construcción,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Casado (a),No aplica,16/04/2018,abril,lunes,6:00:00,6:00 -11:59,HUILA,NEIVA,VILLA MAGDALENA,Comuna 9,Cabecera municipal,Atraco callejero o intento de,Violencia interpersonal,Contundente,"Alguna parte del cuerpo
Arma blanca",Pandillas/Combos
Lesiones,Masculino,33,31-35,Bachillerato,Mecánicos y ajustadores de máquinas y equipos,Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),Funcionarios Judiciales,16/04/2018,abril,lunes,10:20:00,6:00 -11:59,HUILA,NEIVA,SIN DATO,Sin dato,Cabecera municipal,Retención Legal,Violencia interpersonal,Contundente,"Alguna parte del cuerpo
Otro",Delincuencia común
Sin dato,Masculino,22,20-24,Bachillerato sin terminar,Otras ocupaciones no clasificadas,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,16/04/2018,abril,lunes,20:00:00,18:00 -23:59,HUILA,NEIVA,CUARTO CENTENARIO,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Contundente,"Alguna parte del cuerpo
Otro",Vecino
Sin dato,Masculino,13,10-14,Bachillerato sin terminar,Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,17/04/2018,abril,martes,8:00:00,6:00 -11:59,HUILA,NEIVA,MANZANARES,Comuna 6,Cabecera municipal,Hurto,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Sin dato
Sin dato,Masculino,33,31-35,"Diplomados, cursos",Agentes y policías de tránsito,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,18/04/2018,abril,miércoles,22:00:00,18:00 -23:59,HUILA,NEIVA,BUENOS AIRES,Comuna 8,Cabecera municipal,Sin dato,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Policía
Sin dato,Masculino,18,18-19,Bachillerato sin terminar,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Separado (a),No aplica,18/04/2018,abril,miércoles,0:15:00,00:00 - 5:59,HUILA,NEIVA,ZONA INDUSTRIAL,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Punzante,Herramientas,Delincuencia común
Sin dato,Masculino,22,20-24,Bachillerato sin terminar,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,18/04/2018,abril,miércoles,2:00:00,00:00 - 5:59,HUILA,NEIVA,ARRAYANES,Comuna 8,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Sin dato
Sin dato,Masculino,39,36-40,Bachillerato sin terminar,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Separado (a),No aplica,18/04/2018,abril,miércoles,11:00:00,6:00 -11:59,HUILA,NEIVA,SIETE DE AGOSTO,Comuna 5,Cabecera municipal,Hurto,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",Policía
Sin dato,Masculino,19,18-19,Bachillerato sin terminar,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,18/04/2018,abril,miércoles,11:00:00,6:00 -11:59,HUILA,NEIVA,SIETE DE AGOSTO,Comuna 5,Cabecera municipal,Retención Legal,Violencia interpersonal,Sin dato,,Policía
Sin dato,Masculino,22,20-24,Bachillerato,Ninguna,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,18/04/2018,abril,miércoles,11:20:00,6:00 -11:59,HUILA,NEIVA,CENTRO,Comuna 4,Cabecera municipal,Atraco callejero o intento de,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Delincuencia común
Sin dato,Masculino,26,25-30,Técnica/Tecnológica,Miembros de las Fuerzas Armadas y de Policía,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,18/04/2018,abril,miércoles,13:15:00,12:00- 17:59,HUILA,NEIVA,SANTA ROSA,Comuna 9,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Vecino
Sin dato,Femenino,18,18-19,Bachillerato,"Personal de servicios de restaurantes, alimentos y bebidas",Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,18/04/2018,abril,miércoles,14:00:00,12:00- 17:59,HUILA,NEIVA,EDUARDO SANTOS,Comuna 9,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Conocido
Lesiones,Masculino,38,36-40,Bachillerato,Oficiales y operarios de la construcción,Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,18/04/2018,abril,miércoles,15:00:00,12:00- 17:59,HUILA,NEIVA,JOSE EUSTACIO RIVERA,Comuna 3,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Herramientas,Vecino
Sin dato,Femenino,18,18-19,Pregrado sin terminar,Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Separado (a),No aplica,19/04/2018,abril,jueves,2:00:00,00:00 - 5:59,HUILA,NEIVA,sin dato,Comuna 1,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Herramientas",Delincuencia común
Sin dato,Masculino,37,36-40,Bachillerato,Otros trabajadores empleados sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,20/04/2018,abril,viernes,3:00:00,00:00 - 5:59,HUILA,NEIVA,EL TIZÓN,Comuna 1,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Otro
Arma blanca",Sin dato
Sin dato,Masculino,28,25-30,Primaria sin terminar,Otras ocupaciones no clasificadas,Sin pertenencia étnica,Sin dato,Homosexual,Transexual,FALSO,Soltero (a),No aplica,20/04/2018,abril,viernes,4:00:00,00:00 - 5:59,HUILA,NEIVA,AVENIDA CIRCUNVALAR,Comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",No Identificado
Sin dato,Femenino,16,15-17,Bachillerato sin terminar,Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,21/04/2018,abril,sábado,0:45:00,00:00 - 5:59,HUILA,NEIVA,LAS ACACIAS,Comuna 8,Cabecera municipal,Hurto,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Delincuencia común
Sin dato,Masculino,43,41-45,Bachillerato sin terminar,"Vendedores y demostradores de tiendas, almacenes y afines",Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,21/04/2018,abril,sábado,16:30:00,12:00- 17:59,HUILA,NEIVA,PEÑON REDONDO,Comuna 8,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Vecino
Sin dato,Masculino,15,15-17,Bachillerato sin terminar,Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Separado (a),No aplica,21/04/2018,abril,sábado,19:00:00,18:00 -23:59,HUILA,NEIVA,EL LIMONAR I HASTA VIII,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Vecino
Sin dato,Femenino,21,20-24,Bachillerato,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Separado (a),No aplica,21/04/2018,abril,sábado,19:30:00,18:00 -23:59,HUILA,NEIVA,EL LIMONAR I HASTA VIII,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Vecino
Sin dato,Masculino,29,25-30,Bachillerato sin terminar,Oficiales y operarios de la construcción,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,21/04/2018,abril,sábado,22:00:00,18:00 -23:59,HUILA,NEIVA,LOMA DE LA CRUZ,Comuna 5,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",Conocido
Sin dato,Masculino,44,41-45,Bachillerato,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,22/04/2018,abril,domingo,20:00:00,18:00 -23:59,HUILA,NEIVA,CORREGIMIENTO VEGALARGAS,Corregimiento Vegalarga,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Amigo (a)
Sin dato,Masculino,60,56-60,Bachillerato,Oficiales y operarios de la construcción,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,22/04/2018,abril,domingo,Sin dato,Sin dato,HUILA,NEIVA,SAN MIGUEL ARCANGEL,Comuna 10,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Otro
Sin dato,Masculino,35,31-35,Técnica/Tecnológica,Oficiales de la Policía Nacional,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Separado (a),No aplica,23/04/2018,abril,lunes,2:00:00,00:00 - 5:59,HUILA,NEIVA,MONSERRATE,Comuna 5,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",No Identificado
Sin dato,Femenino,42,41-45,Técnica/Tecnológica,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,23/04/2018,abril,lunes,10:30:00,6:00 -11:59,HUILA,NEIVA,DIEGO DE OSPINA,Comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Compañero (a) de estudio
Sin dato,Femenino,35,31-35,Técnica/Tecnológica,"Personal de servicios de restaurantes, alimentos y bebidas",Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,23/04/2018,abril,lunes,12:15:00,12:00- 17:59,HUILA,NEIVA,LOS COLORES,Comuna 10,Cabecera municipal,Hurto,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Sin dato
Sin dato,Masculino,21,20-24,Básica primaria,Ninguna,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Separado (a),No aplica,23/04/2018,abril,lunes,12:30:00,12:00- 17:59,HUILA,NEIVA,LOS COLORES,Comuna 10,Cabecera municipal,Hurto,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Sin dato
Sin dato,Masculino,20,20-24,Bachillerato,Conductores de vehículos de motor,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,23/04/2018,abril,lunes,16:00:00,12:00- 17:59,HUILA,NEIVA,LUIS IGNACIO ANDRADE,Comuna 9,Cabecera municipal,Riña,Violencia interpersonal,Punzante,Arma blanca,Conocido
Sin dato,Masculino,35,31-35,Básica primaria,Conductores de vehículos de motor,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,24/04/2018,abril,martes,12:10:00,12:00- 17:59,HUILA,NEIVA,CANDIDO LEGUIZAMO,Comuna 1,Cabecera municipal,Sin dato,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Delincuencia común
Sin dato,Masculino,6,05-09,Educación preescolar,Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,24/04/2018,abril,martes,16:40:00,12:00- 17:59,HUILA,NEIVA,FORTALECILLAS,Corregimiento Fortalecillas,Cabecera municipal,Sin dato,Violencia interpersonal,Sin dato,Sin dato,Delincuencia común
Sin dato,Masculino,22,20-24,Bachillerato sin terminar,Operarios de la metalurgia y afines,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,24/04/2018,abril,martes,16:40:00,12:00- 17:59,HUILA,NEIVA,FORTALECILLAS,Corregimiento Fortalecillas,Cabecera municipal,Sin dato,Violencia interpersonal,Sin dato,Sin dato,Delincuencia común
Lesiones,Femenino,23,20-24,Bachillerato,"Personal doméstico, aseadores, lavanderos, Planchadores y afines",Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,24/04/2018,abril,martes,14:00:00,12:00- 17:59,HUILA,NEIVA,FORTALECILLAS,Corregimiento Fortalecillas,Cabecera municipal,Sin dato,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Delincuencia común
Lesiones,Femenino,35,31-35,Bachillerato sin terminar,Oficios varios,Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,24/04/2018,abril,martes,17:00:00,12:00- 17:59,HUILA,NEIVA,FORTALECILLAS,Corregimiento Fortalecillas,Cabecera municipal,Sin dato,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Delincuencia común
Lesiones,Masculino,34,31-35,Bachillerato sin terminar,Miembros de las Fuerzas Armadas y de Policía,Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,24/04/2018,abril,martes,7:00:00,6:00 -11:59,HUILA,NEIVA,RAFAEL AZUERO MANCHOLA,Comuna 8,Cabecera municipal,Retención Legal,Violencia interpersonal,Abrasivo,Otro,Policía
Lesiones,Masculino,20,20-24,Bachillerato sin terminar,Otros trabajadores independientes sin ocupación especificada,Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,Presos y/o detenidos,24/04/2018,abril,martes,9:50:00,6:00 -11:59,HUILA,NEIVA,NUEVA GRANADA,Comuna 8,Cabecera municipal,Retención Legal,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",Policía
Lesiones,Femenino,57,56-60,Bachillerato sin terminar,Ama de casa / Encargado (a) del hogar,Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,24/04/2018,abril,martes,11:30:00,6:00 -11:59,HUILA,NEIVA,AEROPUERTO,Comuna 2,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Policía
Sin dato,Masculino,19,18-19,Básica primaria,Otras ocupaciones no clasificadas,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Casado (a),No aplica,24/04/2018,abril,martes,17:30:00,12:00- 17:59,HUILA,NEIVA,FORTALECILLAS,Corregimiento Fortalecillas,Cabecera municipal,Riña,Violencia interpersonal,Sin dato,,Delincuencia común
Sin dato,Femenino,31,31-35,Bachillerato,Trabajadores de los cuidados personales y afines,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,24/04/2018,abril,martes,22:30:00,18:00 -23:59,HUILA,NEIVA,LAS GRANJAS,Comuna 2,Cabecera municipal,Retención Legal,Violencia interpersonal,Biodinámico,Alguna parte del cuerpo,Policía
Sin dato,Masculino,36,36-40,Pregrado sin terminar,Profesionales de la educación,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,24/04/2018,abril,martes,17:20:00,12:00- 17:59,HUILA,NEIVA,FORTALECILLAS,Corregimiento Fortalecillas,Cabecera municipal,Acción militar,Violencia interpersonal,Contundente,"Alguna parte del cuerpo
Otro",Ejercito
Sin dato,Femenino,53,51-55,Bachillerato,Ama de casa / Encargado (a) del hogar,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,25/04/2018,abril,miércoles,11:30:00,6:00 -11:59,HUILA,NEIVA,SAN LUIS DE LA PAZ,Comuna 6,Cabecera municipal,Hurto,Violencia interpersonal,Sin dato,,Policía
Sin dato,Masculino,18,18-19,Ninguna,Ninguna,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Separado (a),No aplica,25/04/2018,abril,miércoles,19:30:00,18:00 -23:59,HUILA,NEIVA,CENTRO,Comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Otro",Conocido
Sin dato,Masculino,13,10-14,Bachillerato sin terminar,Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,25/04/2018,abril,miércoles,21:30:00,18:00 -23:59,HUILA,NEIVA,LOS BUGANVILES,Comuna 5,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,No Identificado
Sin dato,Masculino,30,25-30,Ninguna,Oficios varios,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,25/04/2018,abril,miércoles,16:00:00,12:00- 17:59,HUILA,NEIVA,DARIO ECHANDIA,Comuna 9,Cabecera municipal,Riña,Violencia interpersonal,Contundente,"Alguna parte del cuerpo
Otro",Policía
Lesiones,Masculino,32,31-35,Básica primaria,Oficiales y operarios de la construcción,Sin dato,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,26/04/2018,abril,jueves,9:00:00,6:00 -11:59,HUILA,NEIVA,CANDIDO LEGUIZAMO,Comuna 1,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Conocido
Sin dato,Masculino,45,41-45,Primaria sin terminar,Vendedores ambulantes,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,26/04/2018,abril,jueves,Sin dato,Sin dato,HUILA,NEIVA,LAS PALMAS,Comuna 10,Cabecera municipal,Retención Legal,Violencia interpersonal,Abrasivo,Otro,Policía
Sin dato,Femenino,33,31-35,Bachillerato,Técnicos y asistentes de la medicina y la salud,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,26/04/2018,abril,jueves,5:20:00,00:00 - 5:59,HUILA,NEIVA,LAS PALMAS,Comuna 10,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Otro,Policía
Sin dato,Masculino,35,31-35,Bachillerato,Otros trabajadores independientes sin ocupación especificada,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Separado (a),No aplica,27/04/2018,abril,viernes,6:00:00,6:00 -11:59,HUILA,NEIVA,ALAMOS NORTE,Comuna 2,Cabecera municipal,Hurto,Violencia interpersonal,Abrasivo,Alguna parte del cuerpo,Vecino
Sin dato,Femenino,16,15-17,Bachillerato sin terminar,Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,27/04/2018,abril,viernes,8:00:00,6:00 -11:59,HUILA,NEIVA,LA ORQUIDEA,Comuna 5,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Compañero (a) de estudio
Sin dato,Masculino,10,10-14,Básica primaria,Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Casado (a),No aplica,27/04/2018,abril,viernes,9:00:00,6:00 -11:59,HUILA,NEIVA,LAS CRISTALINAS,Comuna 8,Cabecera municipal,Riña,Violencia interpersonal,Contundente,"Alguna parte del cuerpo
Otro",Sin dato
Sin dato,Masculino,76,>61,Bachillerato,Pensionados / Jubilados,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,27/04/2018,abril,viernes,13:30:00,12:00- 17:59,HUILA,NEIVA,EL JARDIN,Comuna 5,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Vecino
Sin dato,Masculino,30,25-30,Bachillerato,Oficiales de la Policía Nacional,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,27/04/2018,abril,viernes,14:00:00,12:00- 17:59,HUILA,NEIVA,EL JARDIN,Comuna 5,Cabecera municipal,Riña,Violencia interpersonal,Sin dato,,Vecino
Sin dato,Masculino,17,15-17,Bachillerato sin terminar,Estudiante,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,27/04/2018,abril,viernes,15:00:00,12:00- 17:59,HUILA,NEIVA,EL CENTRO,Comuna 4,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Vecino
Sin dato,Masculino,28,25-30,Primaria sin terminar,"Agricultores y trabajadores forestales, pecuarios y pesqueros",Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,27/04/2018,abril,viernes,19:00:00,18:00 -23:59,HUILA,NEIVA,AVENIDA CIRCUNVALAR,Comuna 4,Cabecera municipal,Retención Legal,Violencia interpersonal,Sin dato,Sin dato,Sin dato
Sin dato,Femenino,60,56-60,Primaria sin terminar,Ama de casa / Encargado (a) del hogar,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Unión libre,No aplica,27/04/2018,abril,viernes,19:00:00,18:00 -23:59,HUILA,NEIVA,EL OASIS,Comuna 10,Cabecera municipal,Riña,Violencia interpersonal,Abrasivo,"Alguna parte del cuerpo
Utensilios de aseo y limpieza",Vecino
Sin dato,Masculino,47,46-50,Básica primaria,Oficiales y operarios de la construcción,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,27/04/2018,abril,viernes,Sin dato,Sin dato,HUILA,NEIVA,LA CRISTALINA,Comuna 8,Cabecera municipal,Retención Legal,Violencia interpersonal,Abrasivo,Otro,No Identificado
Sin dato,Masculino,70,>61,Primaria sin terminar,Ninguna,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,28/04/2018,abril,sábado,13:00:00,12:00- 17:59,HUILA,NEIVA,EL LIMONAR I HASTA VIII,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Compañero (a) de estudio
Sin dato,Masculino,3,00-04,No aplica,No aplica,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Soltero (a),No aplica,28/04/2018,abril,sábado,18:40:00,18:00 -23:59,HUILA,NEIVA,QUIRINAL,Comuna 3,Cabecera municipal,Hurto,Violencia interpersonal,Punzante,Otro,Delincuencia común
Sin dato,Masculino,29,25-30,Bachillerato,Ninguna,Sin pertenencia étnica,Sin dato,Heterosexual,No aplica,FALSO,Separado (a),No aplica,28/04/2018,abril,sábado,22:30:00,18:00 -23:59,HUILA,NEIVA,CUARTO CENTENARIO,Comuna 6,Cabecera municipal,Riña,Violencia interpersonal,Contundente,Alguna parte del cuerpo,Conocido
